Hanzi      Pinyin               Translation                                        h->p	 h->t	 p->h	 p->t	 t->h	 t->p	mean	min 	
电影       dian4ying3           Film                                                12	  13	  15	  13	  15	  13	13.5	  12
会         hui4                 can; be able to                                     13	  13	  15	  13	  14	  12	13.3	  12
小学       xiao3 xue2           primary school; elementary school                   14	  15	  14	  13	  13	  13	13.7	  13
第         di4                  auxiliary word                                      14	  13	  15	  15	  14	  13	14.0	  13
新         xin1                 new                                                 15	  15	  14	  14	  13	  17	14.7	  13
上课       shang4 ke4           attend class; have a class                          14	  15	  15	  16	  14	  15	14.8	  14
不客气     bu2 ke4 qi4          You’re welcome                                      14	  13	  14	  14	  15	  13	13.8	  13
不对       bu2 dui4             wrong                                               14	  14	  15	  13	  13	  14	13.8	  13
机票       ji1 piao4            air ticket                                          13	  13	  14	  14	  12	  15	13.5	  12
拿         na2                  take                                                14	  14	  15	  13	  15	  13	14.0	  13
四         si4                  Four                                                14	  14	  13	  14	  13	  13	13.5	  13
本子       ben3 zi              book                                                12	  12	  12	  11	  13	  14	12.3	  11
学生       xue2sheng            Student                                             11	  13	  12	  13	  13	  13	12.5	  11
意大利     yi4 da4 li4          Italy                                               13	  13	  14	  13	  15	  14	13.7	  13
亚洲       ya4 zhou1            Asia                                                12	  11	  14	  11	  14	  14	12.7	  11
打         da3                  hit, take                                           11	  11	  12	  12	  11	  13	11.7	  11
喝         he1                  drink                                               11	  14	  15	  15	  11	  12	13.0	  11
课         ke4                  course                                              12	  11	  11	  11	  14	  12	11.8	  11
今天       jin1tian1            Today                                               11	  13	  12	  13	  12	  13	12.3	  11
那里       na4 li3              there                                               12	  13	  13	  13	  12	  15	13.0	  12
奶奶       nai3nai              grandma                                             14	  12	  13	  12	  13	  11	12.5	  11
球         qiu2                 ball                                                12	  13	  13	  14	  13	  12	12.8	  12
票         piao4                ticket                                              14	  13	  14	  14	  18	  12	14.2	  12
哪         na3                  which                                               13	  14	  15	  13	  12	  13	13.3	  12
他         ta1                  he                                                  13	  13	  11	  12	  14	  13	12.7	  11
一会儿     yi2hui4r             A little while                                      13	  15	  13	  13	  12	  14	13.3	  12
一         yi1                  One                                                 12	  11	  12	  10	  14	  13	12.0	  10
中间       zhong1jian1          Middle                                              15	  13	  13	  13	  13	  16	13.8	  13
真的       zhen1 de             really                                              15	  13	  13	  12	  14	  13	13.3	  12
还有       hai2 you3            also; in addition; besides                          13	  13	  14	  14	  11	  15	13.3	  11
唱歌       chang4 ge1           sing                                                12	  12	  13	  14	  13	  14	13.0	  12
学         xue2                 learn; study                                        12	  12	  13	  12	  13	  15	12.8	  12
医生       yi1sheng1            Doctor                                              13	  14	  13	  13	  14	  14	13.5	  13
下车       xia4 che1            get off                                             12	  12	  12	  11	  11	  11	11.5	  11
地点       di4dian3             location                                            11	  12	  11	  11	  14	  13	12.0	  11
那儿       na4r                 there                                               13	  13	  14	  12	  12	  12	12.7	  12
常常       chang2 chang2        often                                               13	  15	  12	  13	  14	  12	13.2	  12
唱         chang4               sing                                                13	  12	  14	  13	  13	  12	12.8	  12
饭店       fan4dian4            restaurant                                          11	  11	  14	  12	  14	  11	12.2	  11
认识       ren4shi              know                                                11	  12	  13	  14	  14	  14	13.0	  11
行         xing2                That’s ok                                           11	  12	  12	  12	  11	  11	11.5	  11
本         ben3                 (measure word for books or volumes)                 12	  15	  13	  12	  11	  11	12.3	  11
